a lot	a lot: adv. muito
a priori	adv Lat a priori: 1 segundo um princípio anteriormente aceito como hipótese, dedutivamente. 2 por teoria, presuntivo.
abandon	vt 1 abandonar, deixar por completo, ceder. he abandoned him to his fate / ele o deixou à mercê de seu destino. he must abandon the plan / ele precisa abandonar o seu plano. 2 desertar, desamparar. the children were abandoned by their parents / as crianças foram abandonadas pelos pais. 3 entregar, conceder. don’t abandon yourself to despair / não se entregue ao desespero. 4 renunciar. n desembaraço, liberalidade, despreocupação.
ability	n (pl abilities) 1 capacidade, habilidade, competência. 2 agilidade, destreza. 3 talento, aptidão. ability to pay solvência. to the best of one’s ability da melhor forma possível.
able	adj 1 capaz, apto. 2 hábil, ágil, destro. 3 competente, talentoso. 4 autorizado, qualificado. to be able to estar apto para, ser capaz de, poder. he is able to compete / ele está apto para competir.
abort	vt+vi 1 abortar, produzir defeituosamente, dar à luz prematuramente. 2 deixar de desenvolver. 3 restringir o desenvolvimento. 4 fig malograr.
abortion	n 1 aborto, abortamento, móvito. 2 fig malogro, fracasso. 3 monstro, monstruosidade. forced abortion aborto provocado. induced abortion aborto induzido. spontaneous abortion aborto espontâneo. to cause an abortion provocar um aborto.
about	adv 1 quase, aproximadamente, cerca de. I am about ready / estou quase pronto. it is about your size / é quase do seu tamanho. we walked about forty miles / caminhamos cerca de quarenta milhas. 2 em redor, em volta, por todos os lados. the fields about Cambridge / os campos ao redor de Cambridge. all the children were about their sick father / todas as crianças ficaram em redor de seu pai doente. 3 aqui e ali, para cá e para lá. they were walking about / eles estavam andando de lá para cá. 4 em direção contrária, em sentido oposto. the ship turned about and left / o navio mudou de rumo e partiu. • prep 1 acerca de, a respeito de, sobre, relativo a. his opinion about this topic is... / a sua opinião acerca deste assunto é... what is she talking about? / sobre o que ela está falando? 2 perto de, nas imediações de, junto a. I lost my wallet about here / perdi minha carteira nas imediações deste lugar. 3 em redor de, em volta de. she had her sweater about her shoulder / ela tinha a blusa em volta dos ombros. 4 prestes a, disposto a, a ponto de. he is about to go / ele está prestes a partir. 5 ocupado com, interessado em. while you are about the cooking, you can look after the baby / enquanto você está ocupado com a cozinha, pode tomar conta do bebê. about as high quase tão alto. all about em toda parte. do you know what you are about? você sabe o que pretende fazer? você conhece as dificuldades a enfrentar? go about your own business não se importe com as coisas alheias. how about a glass of wine? que tal um copo de vinho? I am about sick of it coll já estou farto disto! it is somewhere about the place está por aí. left about! meia-volta à esquerda! much noise about nothing muita gritaria por nada. right about! meia-volta à direita! she had no money about her ela não tinha dinheiro consigo. she is about the garden ela está em qualquer lugar do jardim. to be about something tratar de alguma coisa, fazer alguma coisa. to come about acontecer, realizar-se. to go about andar para lá e para cá, vaguear. to go about something ter a intenção de fazer alguma coisa. to hang about ficar à toa. to lie about estar espalhado, estar em desordem. to take turns about fazer alguma coisa por turno.
above	n 1 o alto, céu. 2 o acima mencionado, o acima escrito ou dito. the above is his opinion / o acima escrito é a opinião dele. in addition to all of the above, I must say that... / em acréscimo a todo o acima mencionado, devo dizer que... • adj acima mencionado, anteriormente escrito ou dito. for further information see the above passage / para informações complementares consulte o texto acima. the above remarks are concerned with this item / as observações anteriores dizem respeito a este item. • adv 1 acima, no alto, em cima. the sound was coming from the bedroom above / o som vinha do quarto de cima. our plane flew above the clouds / nosso avião voava acima das nuvens. 2 anteriormente (citado ou dito). the facts mentioned above / os fatos mencionados acima. 3 em lugar mais alto. those are the hills above Rome / aquelas são as colinas no alto de Roma. • prep 1 sobre, acima, por cima. she lived on the first floor above a night club / ela morava no primeiro andar acima de uma boate. the police officer ought to be above suspicion / o policial devia estar acima de suspeita. 2 superior. he is above his brother / ele é superior a seu irmão. 3 mais que. the show is allowed to children above the age of ten years / o espetáculo é permitido para crianças com mais de dez anos. 4 além de. he is above criticism / ele está além da crítica. it is above me / isso está além da minha compreensão. above all sobretudo, mais importante de tudo. above all things antes de tudo. above-board a) claro, franco, honesto, correto. b) francamente, honestamente, corretamente. above-ground a) vivo, na terra. b) acima do solo. above-mentioned supracitado, supradito, acima mencionado. above par Econ acima do valor, com ágio. above praise acima de louvor. above the average acima da média. from above de cima. I am above myself eu estou fora de mim (de alegria, de raiva). over and above além disto. to be above nothing considerar nada indigno demais.
above all	above all: adv. sobretudo
absence	n 1 ausência, afastamento. 2 turno ou período da ausência ou do afastamento. 3 falta, carência. 4 distração, inatenção. absence of mind distração. on leave of absence em licença.
absent	vt ausentar(-se), afastar(-se). he absented himself from the meeting / ele ausentou-se da reunião. • adj [´æbs2nt] 1 ausente, não-presente, fora de casa. 2 inexistente, desaparecido. 3 distraído. absent time período de ausência. absent with leave ausente com licença. long absent, soon forgotten longe da vista, longe do coração.
absenteeism	n absentismo, ausência permanente.
absolute	n absoluto. • adj 1 absoluto, total, completo, inteiro, pleno. 2 absoluto, puro, isento de misturas. 3 perfeito, acabado, primoroso. 4 ilimitado, irrestrito, incondicional. 5 incomparável, exímio. 6 real, atual. 7 certo, infalível. 8 Gram parte de uma frase não ligada a ela do ponto de vista gramatical. absolute alcohol álcool puro. absolute freedom liberdade irrestrita. absolute humidity umidade absoluta. absolute ignorance plena ignorância. absolute monopoly monopólio absoluto. absolute temperature temperatura absoluta. absolute title escritura definitiva. absolute value valor absoluto. absolute zero zero absoluto. an absolute fool um tolo completo. in absolute possession em posse irrestrita. to become absolute entrar em vigor.
absolutely	adv 1 absolutamente. 2 completamente, plenamente. 3 prontamente, irrestritamente. 4 realmente, positivamente.
absolutist	 n+adj absolutista.
absorb	vt 1 absorver: a) sorver. b) engolir. c) consumir. 2 sugar, beber. 3 embeber. 4 apreender o interesse, entusiasmar. 5 assimilar. 6 Tech amortecer.
abstention	n abstenção, abstinência.
abstraction	n 1 abstração. 2 subtração, furto. 3 separação. 4 sublimação, idéia abstrata. 5 distração, preocupação.
absurd	adj absurdo, paradoxal, sem razão, ridículo.
abundance	n abundância, fartura. abundance is welcome antes muito do que pouco. out of the abundance of the heart the mouth speaketh quando o coração está cheio, transborda a boca.
abundant	adj abundante, copioso, opulento.
